ID,iso_alpha,country,continent,income_group,life_expectancy,mean_years_of_schooling,cemission_per_cap,under_5_mortality_rate,prop_internet,whr_score,population,gni,gni_per_capita,ggei,pop_cat
1,ABW,Aruba,North America,High income,,,,,,,106537,,,,Less than 10 million
2,AFG,Afghanistan,Asia,Low income,61.9824,2.98506999,0.363,58.1,18.4,,40099462,73149074277.0,1824.190915,,Greater than 10 million
3,AGO,Angola,Africa,Lower middle income,61.6434,5.417390823,1.03,72.3,36.0,,34503774,189000000000.0,5465.617791,,Greater than 10 million
4,ALB,Albania,Europe,Upper middle income,76.4626,11.28645502,2.01,8.52,72.2,53.6,2811666,39731962626.0,14131.11039,0.5656770830000001,Greater than 10 million
5,ARE,United Arab Emirates,Asia,High income,78.7104,12.69402981,19.8,7.16,100.0,64.6,9365145,586000000000.0,62573.59181,0.5065169270000001,Greater than 10 million
6,ARG,Argentina,South America,Upper middle income,75.3899,11.14726927,3.53,9.4,85.5,59.0,45808747,959000000000.0,20925.26814,0.484980469,Greater than 10 million
7,ARM,Armenia,Asia,Upper middle income,72.0431,11.33030033,2.59,11.7,76.5,,2790974,36723618867.0,13157.9939,0.468229167,Greater than 10 million
8,AUS,Australia,Oceania,High income,84.5265,12.72681999,13.8,3.5,89.6,71.4,25688079,1260000000000.0,49238.43335,0.6729882810000001,Greater than 10 million
9,AUT,Austria,Europe,High income,81.5797,12.25669003,9.12,3.21,87.5,72.1,8955797,480000000000.0,53618.67138,0.7114257810000001,Greater than 10 million
10,AZE,Azerbaijan,Asia,Upper middle income,69.3658,10.5429697,3.81,20.1,84.6,,10137750,145000000000.0,14256.74456,0.44760416700000005,Greater than 10 million
11,BDI,Burundi,Africa,Low income,61.6627,3.129266883,1.08,55.1,9.4,,12551213,9184810850.0,731.7867086,0.518522135,Greater than 10 million
12,BEL,Belgium,Europe,High income,81.8787,12.37567997,15.4,3.38,91.5,68.4,11592952,606000000000.0,52293.39977,0.692526042,Greater than 10 million
13,BEN,Benin,Africa,Lower middle income,59.821,4.304786445,0.654,88.8,25.8,44.1,12996895,44305972160.0,3408.965923,0.41932942700000003,Greater than 10 million
14,BFA,Burkina Faso,Africa,Low income,59.2696,2.114962259,0.28200000000000003,71.5,22.0,46.4,22100683,46807388280.0,2117.915916,0.400527344,Greater than 10 million
15,BGD,Bangladesh,Asia,Lower middle income,72.3811,7.379059792,0.807,27.7,24.8,52.8,169356251,927000000000.0,5472.104781,0.434798177,Greater than 100 million
16,BGR,Bulgaria,Europe,Upper middle income,71.798,11.41318035,5.23,6.53,70.2,56.0,6877743,159000000000.0,23078.95595,0.603815104,Greater than 10 million
17,BHR,Bahrain,Asia,High income,78.7605,11.04658985,14.8,6.69,99.7,61.7,1463265,57794940419.0,39497.24788,0.39922526,Greater than 10 million
18,BHS,Bahamas,North America,High income,71.5983,12.64192386,6.87,9.62,87.0,,407906,12435497489.0,30486.18429,,Less than 10 million
19,BIH,Bosnia and Herzegovina,Europe,Upper middle income,75.30030000000001,10.53631973,3.59,5.5,73.2,55.2,3270943,49855434031.0,15241.91465,,Greater than 10 million
20,BLR,Belarus,Europe,Upper middle income,72.438,12.14358044,5.99,3.26,85.1,,9340314,176000000000.0,18848.96704,0.506171875,Greater than 10 million
21,BLZ,Belize,North America,Upper middle income,70.4697,8.847599983,1.0,12.4,,,400031,2523835493.0,6309.099778,0.38608724,Less than 10 million
22,BOL,Bolivia,South America,Lower middle income,63.6304,9.827750206,1.83,25.4,59.9,55.6,12079472,97978894835.0,8111.190194,0.46223307300000005,Greater than 10 million
23,BRA,Brazil,South America,Upper middle income,72.7504,8.128813955,2.0,13.5,81.3,61.1,214326223,3080000000000.0,14369.88848,0.542285156,Greater than 100 million
24,BRB,Barbados,North America,High income,77.5714,9.852700596,3.79,11.7,,,281200,3460543089.0,12306.341,,Less than 10 million
25,BRN,Brunei Darussalam,Asia,High income,74.6424,9.18,22.6,11.1,95.0,,445373,28721899694.0,64489.53954,,Less than 10 million
26,BTN,Bhutan,Asia,Lower middle income,71.815,5.170262283,3.34,27.4,53.5,,777486,7337556400.0,9437.541512,,Less than 10 million
27,BWA,Botswana,Africa,Upper middle income,61.1409,10.34,4.7,34.8,64.0,,2588423,41928099934.0,16198.31841,,Greater than 10 million
28,CAF,Central African Republic,Africa,Low income,53.8947,4.334,1.08,110.0,10.4,,5457154,5271930612.0,966.0586107,0.395722656,Greater than 10 million
29,CAN,Canada,North America,High income,82.6565,13.83442722,13.0,4.89,97.0,70.3,38246108,1790000000000.0,46807.98619,0.580325521,Greater than 10 million
30,CHE,Switzerland,Europe,High income,83.9872,13.85966015,12.4,3.91,94.2,75.1,8703405,583000000000.0,66933.00454,0.781289063,Greater than 10 million
31,CHL,Chile,South America,High income,78.9435,10.9349663,4.43,6.86,88.3,61.5,19493184,479000000000.0,24563.24486,0.537447917,Greater than 10 million
32,CHN,China,Asia,Upper middle income,78.2107,7.600118446,7.04,8.09,70.4,57.7,1412360000,24700000000000.0,17504.39969,0.5283854170000001,Greater than 100 million
33,CIV,Cote d'Ivoire,Africa,Lower middle income,58.5983,5.199138977,0.549,77.1,,52.6,27478249,143000000000.0,5217.448516,0.458255208,Greater than 10 million
34,CMR,Cameroon,Africa,Lower middle income,60.3334,6.15131,0.376,72.0,37.8,52.4,27198628,98484393578.0,3620.932408,0.47296224000000003,Greater than 10 million
35,COD,Democratic Republic of the Congo,Africa,Low income,59.193,7.018696516,0.42,84.5,13.6,,95894118,103000000000.0,1076.098781,,Greater than 10 million
36,COG,Congo,Africa,Lower middle income,63.5187,6.166,0.669,47.5,,50.8,5835806,16861298108.0,2889.283521,0.5137044270000001,Greater than 10 million
37,COL,Colombia,South America,Upper middle income,72.8296,8.862859726,2.14,13.5,69.8,57.1,51516562,741000000000.0,14384.35666,0.494707031,Greater than 10 million
38,COM,Comoros,Africa,Lower middle income,63.4174,5.078649,0.517,64.8,,,821625,2581598432.0,3142.064119,0.512799479,Less than 10 million
39,CPV,Cabo Verde,Africa,Lower middle income,74.0518,6.287719287,1.0,18.1,64.5,,587925,3662890452.0,6230.200199,0.521191406,Less than 10 million
40,CRI,Costa Rica,North America,Upper middle income,77.0232,8.804059982,2.2,8.19,80.5,63.4,5153957,103000000000.0,19974.27358,0.644446615,Greater than 10 million
41,CUB,Cuba,North America,Upper middle income,73.6829,12.49773438,3.07,4.82,74.0,,11256372,88687238189.0,7878.847482,,Greater than 10 million
42,CYP,Cyprus,Asia,High income,81.2033,12.44017029,5.48,2.22,90.8,62.6,1244188,47513575794.0,38188.42152,0.612636719,Greater than 10 million
43,CZE,Czech Republic,Europe,High income,77.7283,12.86931038,9.49,3.21,81.3,69.0,10505772,407000000000.0,38745.21386,0.584967448,Greater than 10 million
44,DEU,Germany,Europe,High income,80.6301,14.09096691,9.23,3.24,89.8,73.1,83196078,4540000000000.0,54534.21682,0.673977865,Greater than 10 million
